,question,answer
1415,jadi aku harus berhenti berpikir?,berhenti memikirkan apa gunanya.
1416,berhenti memikirkan apa gunanya.,Oke. aku akan mulai berpikir untuk bersenang-senang.
1417,Oke. aku akan mulai berpikir untuk bersenang-senang.,bersabarlah. kesenangan tidak datang setiap lima menit.
1418,bir adalah obat yang ampuh.,begitu juga rokok.
1419,begitu juga rokok.,mana yang lebih kamu sukai?
1420,mana yang lebih kamu sukai?,Apa maksudmu?
1421,Apa maksudmu?,"ketika Anda meninggal dan masuk surga, mereka akan menawari Anda bir atau rokok."
1422,"ketika Anda meninggal dan masuk surga, mereka akan menawari Anda bir atau rokok.",aku hanya bisa memilih satu atau yang lain?
1423,aku hanya bisa memilih satu atau yang lain?,"Ya. tidak ada yang sempurna, bahkan di surga pun tidak."
1424,"Ya. tidak ada yang sempurna, bahkan di surga pun tidak.","nak, itu sulit."
1425,"nak, itu sulit.","apa susahnya? tentu saja, saya akan memilih rokok."
1426,"apa susahnya? tentu saja, saya akan memilih rokok.",tapi rokok terasa jauh lebih enak jika Anda minum bir dingin.
1427,tapi rokok terasa jauh lebih enak jika Anda minum bir dingin.,"ya, kamu tidak bisa memiliki semuanya."
1428,"ya, kamu tidak bisa memiliki semuanya.",kurasa aku tidak ingin pergi ke surgamu.
1429,celanaku berlubang di saku depan.,Anda tidak boleh membawa pena di saku Anda.
1430,Anda tidak boleh membawa pena di saku Anda.,kemarin sebuah pena jatuh dari celanaku ke sepatuku.
1431,kemarin sebuah pena jatuh dari celanaku ke sepatuku.,beruntung bagimu itu bukan pisau yang tajam.
1432,beruntung bagimu itu bukan pisau yang tajam.,siapa yang membawa pisau tajam di sakunya?
1433,siapa yang membawa pisau tajam di sakunya?,"penjahat, tentu saja."
1434,"penjahat, tentu saja.","bagaimanapun, aku harus memperbaiki lubangnya."
1435,"bagaimanapun, aku harus memperbaiki lubangnya.",Anda bisa menjahitnya atau menggunakan tambalan setrika.
1436,Anda bisa menjahitnya atau menggunakan tambalan setrika.,ceritakan padaku tentang tambalan ini.
1437,ceritakan padaku tentang tambalan ini.,tambalannya ada lemnya. setrika panas melelehkan lem sehingga tempelannya menempel.
1438,tambalannya ada lemnya. setrika panas melelehkan lem sehingga tempelannya menempel.,kedengarannya jauh lebih mudah daripada menjahit.
1439,kedengarannya jauh lebih mudah daripada menjahit.,"dia. tetapi setelah sekitar sepuluh kali pencucian, lemnya hilang."
1440,apakah kamu tahu lelucon yang bagus?,saya tidak dapat mengingat lelucon.
1441,saya tidak dapat mengingat lelucon.,aku juga tidak bisa.
1442,aku juga tidak bisa.,mereka masuk ke satu telinga dan keluar dari telinga yang lain.
1443,mereka masuk ke satu telinga dan keluar dari telinga yang lain.,siapa yang membuat semua lelucon ini?
1444,siapa yang membuat semua lelucon ini?,siapa tahu? tapi pasti ada seratus yang baru setiap hari.
1445,siapa tahu? tapi pasti ada seratus yang baru setiap hari.,"ya, hanya dalam bahasa inggris saja."
1446,"ya, hanya dalam bahasa inggris saja.",saya ingin tahu apakah setiap bahasa memiliki lelucon.
1447,saya ingin tahu apakah setiap bahasa memiliki lelucon.,Tentu saja! orang di mana pun menyukai lelucon yang bagus.
1448,Tentu saja! orang di mana pun menyukai lelucon yang bagus.,menurutmu apa yang paling sering diolok-olok orang?
1449,menurutmu apa yang paling sering diolok-olok orang?,menurutku sebagian besar lelucon adalah tentang wanita.
1450,menurutku sebagian besar lelucon adalah tentang wanita.,"ah, benarkah? menurutku sebagian besar lelucon adalah tentang pria!"
1451,Anda sangat beruntung.,mengapa kamu mengatakan itu?
1452,mengapa kamu mengatakan itu?,Anda berbicara dua bahasa.
1453,Anda berbicara dua bahasa.,"ya, bahasa inggrisku tidak sempurna."
1454,"ya, bahasa inggrisku tidak sempurna.",tidak ada yang berbicara bahasa Inggris yang sempurna.
1455,tidak ada yang berbicara bahasa Inggris yang sempurna.,mungkin aku yang pertama!
1456,mungkin aku yang pertama!,Aku sedang berpikir untuk belajar bahasa Spanyol.
1457,Aku sedang berpikir untuk belajar bahasa Spanyol.,bahasa Spanyol itu mudah. aku akan dengan senang hati mengajarimu.
1458,bahasa Spanyol itu mudah. aku akan dengan senang hati mengajarimu.,berapa lama waktu yang saya perlukan untuk belajar?
1459,berapa lama waktu yang saya perlukan untuk belajar?,menurutku itu hanya membutuhkan waktu satu atau dua tahun.
1460,menurutku itu hanya membutuhkan waktu satu atau dua tahun.,seberapa cepat kita bisa mulai?
1461,seberapa cepat kita bisa mulai?,sekarang! itu artinya saat ini.
1462,tahukah kamu hari ini apa?,"ya, ini tanggal 22 April."
1463,"ya, ini tanggal 22 April.",ini lebih dari sekedar kencan.
1464,ini lebih dari sekedar kencan.,apakah ini hari ulang tahun atau hari jadimu?
1465,apakah ini hari ulang tahun atau hari jadimu?,"tidak, ini hari bumi."
1466,"tidak, ini hari bumi.",apa itu?
1467,apa itu?,ini adalah pengingat tahunan untuk menjaga planet kita.
1468,ini adalah pengingat tahunan untuk menjaga planet kita.,"oh, maksudmu suka menggunakan kembali barang dan mendaur ulang barang?"
1469,"oh, maksudmu suka menggunakan kembali barang dan mendaur ulang barang?","Ya. kita perlu berpikir ramah lingkungan, menghemat air, dan berhenti menggunakan kantong plastik."
1470,"Ya. kita perlu berpikir ramah lingkungan, menghemat air, dan berhenti menggunakan kantong plastik.",bagaimana kalau aku mandi sebentar?
1471,bagaimana kalau aku mandi sebentar?,"itu ide yang bagus, karena mandi membuang banyak air."
1472,"itu ide yang bagus, karena mandi membuang banyak air.",mulai sekarang aku hanya akan menghabiskan 20 menit di kamar mandi.
1473,puisi menyebalkan.,saya tidak tahu siapa pun yang menyukainya.
1474,saya tidak tahu siapa pun yang menyukainya.,"beberapa di antaranya baik-baik saja, menurutku."
1475,"beberapa di antaranya baik-baik saja, menurutku.","ya, puisi-puisi yang berima dan mudah diingat."
1476,"ya, puisi-puisi yang berima dan mudah diingat.","seperti ""satu, dua, kencangkan sepatuku."""
1477,"seperti ""satu, dua, kencangkan sepatuku.""",tapi orang masih menulis puisi.
1478,tapi orang masih menulis puisi.,tidak ada yang menghasilkan uang dari itu.
1479,tidak ada yang menghasilkan uang dari itu.,Shakespeare adalah seorang penyair.
1480,Shakespeare adalah seorang penyair.,apakah dia menjadi kaya dari puisinya?
1481,apakah dia menjadi kaya dari puisinya?,mungkin tidak.
1482,mungkin tidak.,puisi sedikit mirip dengan lagu.
1483,puisi sedikit mirip dengan lagu.,"ya, tapi lagu punya musik. tanpa musik, lagu juga akan jelek."
1484,seberapa pintar kamu?,aku tidak tahu. menurutku aku rata-rata.
1485,aku tidak tahu. menurutku aku rata-rata.,apakah kamu pernah mengikuti tes iq?
1486,apakah kamu pernah mengikuti tes iq?,"tidak, aku tidak pernah melakukannya. Yang aku tahu hanyalah aku mendapat nilai A dan B di sekolah."
1487,"tidak, aku tidak pernah melakukannya. Yang aku tahu hanyalah aku mendapat nilai A dan B di sekolah.",aku berharap aku benar-benar pintar.
1488,aku berharap aku benar-benar pintar.,jangan konyol.
1489,jangan konyol.,Apa maksudmu?
1490,Apa maksudmu?,"jika Anda ingin membuat permohonan, berharaplah Anda benar-benar kaya atau terkenal."
1491,"jika Anda ingin membuat permohonan, berharaplah Anda benar-benar kaya atau terkenal.",pernahkah kamu bertanya-tanya bagaimana rasanya menjadi super pintar?
1492,pernahkah kamu bertanya-tanya bagaimana rasanya menjadi super pintar?,pasti sangat sepi.
1493,pasti sangat sepi.,kenapa begitu?
1494,kenapa begitu?,"karena jika Anda super pintar, tidak ada yang mengerti apa yang Anda katakan."
1495,aku ketinggalan berita televisi tadi malam. apa yang sedang terjadi?,tidak ada yang bisa dianggap sebagai berita.
1496,tidak ada yang bisa dianggap sebagai berita.,bagaimana cuaca akhir pekan ini?
1497,bagaimana cuaca akhir pekan ini?,"aku tidak tahu. setiap kali cuaca cerah, saya mengganti saluran."
1498,"aku tidak tahu. setiap kali cuaca cerah, saya mengganti saluran.",apa berita utama dalam berita tersebut?
1499,apa berita utama dalam berita tersebut?,beberapa aktris diadili karena mengemudi tanpa SIM.
1500,beberapa aktris diadili karena mengemudi tanpa SIM.,apa cerita kedua?
1501,apa cerita kedua?,beberapa aktor menikahi seorang wanita yang cukup muda untuk menjadi putrinya.
1502,beberapa aktor menikahi seorang wanita yang cukup muda untuk menjadi putrinya.,apa cerita ketiga?
1503,apa cerita ketiga?,seekor banteng mengejar seorang pria di supermarket.
1504,seekor banteng mengejar seorang pria di supermarket.,bukankah ada sesuatu tentang octo-mom?
1505,bukankah ada sesuatu tentang octo-mom?,Tentu saja. dia akan menyewa pengasuh untuk delapan bayinya.
1506,apa yang akan kamu lakukan terhadap kematianmu?,"baiklah, kebanyakan aku akan berusaha menghindarinya."
1507,"baiklah, kebanyakan aku akan berusaha menghindarinya.","Maksudku, apakah kamu akan dikuburkan atau dikremasi?"
1508,"Maksudku, apakah kamu akan dikuburkan atau dikremasi?",saya dan istri saya akan dikremasi.
1509,saya dan istri saya akan dikremasi.,apakah kalian akan dikuburkan bersebelahan?
1510,apakah kalian akan dikuburkan bersebelahan?,Oh tidak. abu kita akan diguncang ke laut.
1511,Oh tidak. abu kita akan diguncang ke laut.,kamu tidak akan dikuburkan?
1512,kamu tidak akan dikuburkan?,peti mati harganya terlalu mahal dan memakan terlalu banyak ruang.
1513,peti mati harganya terlalu mahal dan memakan terlalu banyak ruang.,"ya, tapi itu akan terjadi di kuburan di mana anak-anakmu bisa mengunjungimu."
1514,"ya, tapi itu akan terjadi di kuburan di mana anak-anakmu bisa mengunjungimu.",anak-anak jarang mengunjungi orang tuanya di kuburan.
1515,anak-anak jarang mengunjungi orang tuanya di kuburan.,"itu benar. kuburan itu untuk orang mati, bukan orang hidup."
1516,"itu benar. kuburan itu untuk orang mati, bukan orang hidup.",kami pikir anak-anak kami dapat mengunjungi kami kapan pun mereka pergi ke pantai.
1517,apakah kamu menyeka kakimu?,"ya, tentu saja aku menyeka kakiku."
1518,"ya, tentu saja aku menyeka kakiku.",lalu kenapa ada lumpur di karpet?
1519,lalu kenapa ada lumpur di karpet?,aku tidak tahu. itu bukan lumpurku.
1520,aku tidak tahu. itu bukan lumpurku.,"nah, seseorang membawanya ke dalam rumah."
1521,"nah, seseorang membawanya ke dalam rumah.",lihat bagian bawah sepatuku—bersih.
1522,lihat bagian bawah sepatuku—bersih.,tentu saja mereka bersih. kamu meninggalkan semua lumpur di karpet.
1523,tentu saja mereka bersih. kamu meninggalkan semua lumpur di karpet.,"oke, aku akan mengambil penyedot debu."
1524,"oke, aku akan mengambil penyedot debu.",jangan menyedotnya sekarang.
1525,jangan menyedotnya sekarang.,tidakkah kamu ingin aku membersihkan lumpurnya?
1526,tidakkah kamu ingin aku membersihkan lumpurnya?,tunggu sampai kering. akan lebih mudah untuk menyedot debu.
1527,tunggu sampai kering. akan lebih mudah untuk menyedot debu.,lain kali aku akan lebih berhati-hati.
1528,apa yang kamu berikan untuk ibumu?,apa yang kamu bicarakan?
1529,apa yang kamu bicarakan?,Minggu adalah hari ibu.
1530,Minggu adalah hari ibu.,hari Minggu ini?
1531,hari Minggu ini?,Tentu saja. itu semua menjadi berita.
1532,Tentu saja. itu semua menjadi berita.,kupikir itu hari minggu depan.
1533,kupikir itu hari minggu depan.,"baiklah, sebaiknya kau belikan dia sesuatu."
1534,"baiklah, sebaiknya kau belikan dia sesuatu.",aku akan membelikannya kartu yang bagus.
1535,aku akan membelikannya kartu yang bagus.,itu saja?
1536,itu saja?,Ya. hanya itu yang pernah kuberikan padanya.
1537,Ya. hanya itu yang pernah kuberikan padanya.,"dia membesarkanmu, dan yang kamu berikan padanya hanyalah sebuah kartu?"
1538,"dia membesarkanmu, dan yang kamu berikan padanya hanyalah sebuah kartu?",tidak apa-apa. dia tahu kalau aku mencintainya.
1539,aku tidak suka bendera kita.,apa masalahnya?
1540,apa masalahnya?,itu terlalu mirip dengan bendera lainnya.
1541,itu terlalu mirip dengan bendera lainnya.,"ya, banyak bendera yang bergaris."
1542,"ya, banyak bendera yang bergaris.",sebuah bendera harus cantik.
1543,sebuah bendera harus cantik.,seperti apa bentuk bendera kita?
1544,seperti apa bentuk bendera kita?,seharusnya ada wanita cantik di dalamnya.
1545,seharusnya ada wanita cantik di dalamnya.,itu konyol!
1546,itu konyol!,kamu tidak suka wanita cantik?
1547,kamu tidak suka wanita cantik?,tentu saja aku tahu. tapi tidak pada bendera kita!
1548,tentu saja aku tahu. tapi tidak pada bendera kita!,setiap negara harus memiliki wanita cantik di benderanya.
1549,setiap negara harus memiliki wanita cantik di benderanya.,Anda tidak bisa berperang membawa bendera yang bergambar wanita!
1550,aku menjalani pagi yang sibuk.,apa yang kamu lakukan?
1551,apa yang kamu lakukan?,aku menyirami semua tanaman.
1552,aku menyirami semua tanaman.,kamu mempunyai banyak tanaman.
1553,kamu mempunyai banyak tanaman.,lalu aku mencuci pakaianku.
1554,lalu aku mencuci pakaianku.,itu membutuhkan waktu.
1555,itu membutuhkan waktu.,aku mengajak anjing itu jalan-jalan.
1556,aku mengajak anjing itu jalan-jalan.,aku yakin dia menikmati perjalanannya.
1557,aku yakin dia menikmati perjalanannya.,aku menyedot debu seluruh rumah.
1558,aku menyedot debu seluruh rumah.,itu banyak pekerjaan.
1559,itu banyak pekerjaan.,lalu aku membuat makan siang.
1560,lalu aku membuat makan siang.,aku yakin kamu lapar!
1561,saya tidak memiliki layanan jarak jauh dengan telepon rumah saya.,jadi bagaimana cara melakukan panggilan jarak jauh?
1562,jadi bagaimana cara melakukan panggilan jarak jauh?,saya menggunakan kartu panggil.
1563,saya menggunakan kartu panggil.,dimana kamu mendapatkan itu?
1564,dimana kamu mendapatkan itu?,saya membelinya di toko dolar.
1565,saya membelinya di toko dolar.,berapa harganya?
1566,berapa harganya?,itu satu dolar untuk 100 menit.
1567,itu satu dolar untuk 100 menit.,itu hanya satu sen per menit!
1568,itu hanya satu sen per menit!,itu harga yang bagus. tetapi Anda harus menghubungi banyak nomor.
1569,itu harga yang bagus. tetapi Anda harus menghubungi banyak nomor.,berapa banyak?
1570,berapa banyak?,"pertama Anda menekan tujuh nomor, lalu sepuluh nomor, lalu sepuluh nomor lagi."
1571,"pertama Anda menekan tujuh nomor, lalu sepuluh nomor, lalu sepuluh nomor lagi.",astaga. aku pikir aku akan mempertahankan layanan jarak jauhku.
1572,Apakah kamu berkuliah?,"ya, saya bersedia."
1573,"ya, saya bersedia.",kamu kuliah di kampus mana?
1574,kamu kuliah di kampus mana?,saya kuliah di perguruan tinggi kota pasadena.
1575,saya kuliah di perguruan tinggi kota pasadena.,Apakah kamu menyukainya?
1576,Apakah kamu menyukainya?,"oh ya, aku sangat menyukainya."
1577,"oh ya, aku sangat menyukainya.",mengapa Anda menyukainya?
1578,mengapa Anda menyukainya?,karena mempunyai guru yang hebat.
1579,karena mempunyai guru yang hebat.,apa lagi?
1580,apa lagi?,aku juga menyukai semua teman sekelasku.
1581,aku juga menyukai semua teman sekelasku.,ada yang lain?
1582,ada yang lain?,Ya. itu tidak mahal!
1583,aku kehilangan pena baruku.,dimana kamu kehilangannya?
1584,dimana kamu kehilangannya?,aku tidak tahu.
1585,aku tidak tahu.,kapan kamu kehilangannya?
1586,kapan kamu kehilangannya?,kurasa aku kehilangannya hari ini. saya menggunakannya kemarin.
1587,kurasa aku kehilangannya hari ini. saya menggunakannya kemarin.,apakah kamu sudah memeriksa semua kantongmu?
1588,apakah kamu sudah memeriksa semua kantongmu?,aku memeriksa semua sakuku.
1589,aku memeriksa semua sakuku.,apakah kamu melihat ke mejamu?
1590,apakah kamu melihat ke mejamu?,Ya. itu juga tidak ada di sana.
1591,Ya. itu juga tidak ada di sana.,itu mungkin ada di suatu tempat.
1592,itu mungkin ada di suatu tempat.,"oh, baiklah, harganya hanya satu dolar."
1593,"oh, baiklah, harganya hanya satu dolar.",hanya satu dolar? bahkan tidak mencarinya.
1594,gravitasi sangatlah penting.,apa itu gravitasi?
1595,apa itu gravitasi?,itu adalah kekuatan yang menjatuhkan segalanya.
1596,itu adalah kekuatan yang menjatuhkan segalanya.,saya tidak mengerti.
1597,saya tidak mengerti.,"jika kamu menuangkan air ke dalam gelas, maka air akan turun ke dalam gelas."
1598,"jika kamu menuangkan air ke dalam gelas, maka air akan turun ke dalam gelas.",tentu saja.
1599,tentu saja.,"tanpa gravitasi, air akan naik."
1600,"tanpa gravitasi, air akan naik.",kamu bercanda.
1601,kamu bercanda.,"tanpa gravitasi, Anda akan naik."
1602,"tanpa gravitasi, Anda akan naik.",Apa maksudmu?
1603,Apa maksudmu?,Anda akan melayang ke langit seperti balon.
1604,Anda akan melayang ke langit seperti balon.,itu akan menyenangkan!
1605,aku tidak bisa membaca bukuku.,menyalakan lampu.
1606,menyalakan lampu.,lampu menyala.
1607,lampu menyala.,Buka buku.
1608,Buka buku.,bukunya terbuka.
1609,bukunya terbuka.,temui dokter mata.
1610,temui dokter mata.,itulah yang perlu saya lakukan.
1611,itulah yang perlu saya lakukan.,dia akan memberimu resep kacamata.
1612,dia akan memberimu resep kacamata.,aku akan membuat janji besok.
1613,aku akan membuat janji besok.,aku akan mengambil halaman kuning untuk dokter mata.
1614,aku akan mengambil halaman kuning untuk dokter mata.,bacakan nomor teleponnya padaku.
1615,bacakan nomor teleponnya padaku.,"aku akan membacanya dengan suara keras, kalau-kalau pendengaranmu juga memburuk."
1616,apa yang kamu butuhkan untuk sekolah?,aku butuh pensil.
1617,aku butuh pensil.,ada yang lain?
1618,ada yang lain?,aku butuh buku catatan.
1619,aku butuh buku catatan.,apakah kamu memerlukan pena?
1620,apakah kamu memerlukan pena?,TIDAK. aku sudah punya pena.
1621,TIDAK. aku sudah punya pena.,apakah kamu memerlukan kalkulator?
1622,apakah kamu memerlukan kalkulator?,TIDAK. guru tidak mengizinkan kalkulator.
1623,TIDAK. guru tidak mengizinkan kalkulator.,bagaimana dengan kamus?
1624,bagaimana dengan kamus?,"tidak, kami memiliki kamus besar di kelas."
1625,"tidak, kami memiliki kamus besar di kelas.","baiklah, menurutku itu saja."
1626,"baiklah, menurutku itu saja.","ya, hanya itu yang aku perlukan saat ini."
1627,saya suka majalah ini.,Saya juga.
